RUN	gatling_viade_es1c.visualize1user	visualize1user	1588332584368	 	3.3.1
USER	visualize1user	1	START	1588332586019	1588332586019
REQUEST	1		request_0	1588332586069	1588332586135	OK	 
USER	visualize1user	2	START	1588332586209	1588332586209
REQUEST	2		request_0	1588332586210	1588332586240	OK	 
USER	visualize1user	3	START	1588332586421	1588332586421
REQUEST	3		request_0	1588332586422	1588332586440	OK	 
USER	visualize1user	4	START	1588332586621	1588332586621
REQUEST	4		request_0	1588332586622	1588332586641	OK	 
USER	visualize1user	5	START	1588332586820	1588332586820
REQUEST	5		request_0	1588332586820	1588332586838	OK	 
USER	visualize1user	6	START	1588332587020	1588332587020
REQUEST	6		request_0	1588332587021	1588332587038	OK	 
USER	visualize1user	7	START	1588332587218	1588332587218
REQUEST	7		request_0	1588332587219	1588332587239	OK	 
USER	visualize1user	8	START	1588332587420	1588332587420
REQUEST	8		request_0	1588332587421	1588332587439	OK	 
USER	visualize1user	9	START	1588332587623	1588332587623
REQUEST	9		request_0	1588332587624	1588332587635	OK	 
USER	visualize1user	10	START	1588332587823	1588332587823
REQUEST	10		request_0	1588332587825	1588332587834	OK	 
USER	visualize1user	11	START	1588332588023	1588332588023
REQUEST	11		request_0	1588332588024	1588332588032	OK	 
REQUEST	1		request_1	1588332588151	1588332588156	OK	 
REQUEST	1		request_2	1588332588168	1588332588172	OK	 
REQUEST	1		request_4	1588332588170	1588332588192	OK	 
REQUEST	1		request_3	1588332588169	1588332588197	OK	 
USER	visualize1user	12	START	1588332588191	1588332588191
REQUEST	12		request_0	1588332588194	1588332588206	OK	 
REQUEST	2		request_1	1588332588263	1588332588268	OK	 
REQUEST	2		request_2	1588332588270	1588332588273	OK	 
REQUEST	2		request_3	1588332588270	1588332588281	OK	 
REQUEST	2		request_4	1588332588271	1588332588282	OK	 
USER	visualize1user	13	START	1588332588394	1588332588394
REQUEST	13		request_0	1588332588395	1588332588401	OK	 
REQUEST	3		request_1	1588332588450	1588332588455	OK	 
REQUEST	3		request_2	1588332588456	1588332588461	OK	 
REQUEST	3		request_4	1588332588458	1588332588467	OK	 
REQUEST	3		request_3	1588332588457	1588332588470	OK	 
USER	visualize1user	14	START	1588332588592	1588332588592
REQUEST	14		request_0	1588332588592	1588332588601	OK	 
REQUEST	4		request_1	1588332588659	1588332588666	OK	 
REQUEST	4		request_2	1588332588668	1588332588672	OK	 
REQUEST	4		request_4	1588332588670	1588332588679	OK	 
REQUEST	4		request_3	1588332588669	1588332588683	OK	 
USER	visualize1user	15	START	1588332588788	1588332588788
REQUEST	15		request_0	1588332588789	1588332588795	OK	 
REQUEST	5		request_1	1588332588851	1588332588855	OK	 
REQUEST	5		request_2	1588332588857	1588332588861	OK	 
REQUEST	5		request_4	1588332588858	1588332588866	OK	 
REQUEST	5		request_3	1588332588857	1588332588868	OK	 
USER	visualize1user	16	START	1588332588992	1588332588992
REQUEST	16		request_0	1588332588993	1588332589000	OK	 
REQUEST	6		request_1	1588332589050	1588332589055	OK	 
REQUEST	6		request_2	1588332589057	1588332589061	OK	 
REQUEST	6		request_4	1588332589059	1588332589066	OK	 
REQUEST	6		request_3	1588332589057	1588332589069	OK	 
USER	visualize1user	17	START	1588332589189	1588332589189
REQUEST	17		request_0	1588332589190	1588332589197	OK	 
REQUEST	1		request_5	1588332589200	1588332589203	OK	 
REQUEST	1		request_6	1588332589204	1588332589207	OK	 
REQUEST	7		request_1	1588332589262	1588332589266	OK	 
REQUEST	7		request_2	1588332589267	1588332589270	OK	 
REQUEST	7		request_4	1588332589269	1588332589273	OK	 
REQUEST	7		request_3	1588332589268	1588332589277	OK	 
USER	visualize1user	18	START	1588332589389	1588332589389
REQUEST	18		request_0	1588332589390	1588332589396	OK	 
REQUEST	8		request_1	1588332589451	1588332589455	OK	 
REQUEST	8		request_2	1588332589457	1588332589460	OK	 
REQUEST	8		request_4	1588332589459	1588332589465	OK	 
REQUEST	8		request_3	1588332589458	1588332589471	OK	 
REQUEST	3		request_5	1588332589474	1588332589478	OK	 
REQUEST	3		request_6	1588332589479	1588332589482	OK	 
USER	visualize1user	19	START	1588332589592	1588332589592
REQUEST	19		request_0	1588332589593	1588332589601	OK	 
REQUEST	9		request_1	1588332589639	1588332589644	OK	 
REQUEST	9		request_2	1588332589646	1588332589650	OK	 
REQUEST	9		request_4	1588332589648	1588332589657	OK	 
REQUEST	9		request_3	1588332589647	1588332589659	OK	 
REQUEST	4		request_5	1588332589690	1588332589695	OK	 
REQUEST	4		request_6	1588332589697	1588332589700	OK	 
USER	visualize1user	20	START	1588332589789	1588332589789
REQUEST	20		request_0	1588332589790	1588332589798	OK	 
REQUEST	10		request_1	1588332589842	1588332589848	OK	 
REQUEST	10		request_2	1588332589851	1588332589854	OK	 
REQUEST	10		request_4	1588332589853	1588332589859	OK	 
REQUEST	10		request_3	1588332589851	1588332589863	OK	 
REQUEST	5		request_5	1588332589874	1588332589879	OK	 
REQUEST	5		request_6	1588332589880	1588332589883	OK	 
USER	visualize1user	21	START	1588332589992	1588332589992
REQUEST	21		request_0	1588332589994	1588332590001	OK	 
REQUEST	11		request_1	1588332590052	1588332590058	OK	 
REQUEST	11		request_2	1588332590059	1588332590066	OK	 
REQUEST	11		request_3	1588332590060	1588332590071	OK	 
REQUEST	11		request_4	1588332590061	1588332590071	OK	 
REQUEST	6		request_5	1588332590074	1588332590077	OK	 
REQUEST	6		request_6	1588332590078	1588332590081	OK	 
USER	visualize1user	22	START	1588332590209	1588332590209
REQUEST	22		request_0	1588332590210	1588332590216	OK	 
REQUEST	12		request_1	1588332590221	1588332590228	OK	 
REQUEST	12		request_2	1588332590230	1588332590233	OK	 
REQUEST	12		request_4	1588332590231	1588332590237	OK	 
REQUEST	12		request_3	1588332590230	1588332590239	OK	 
REQUEST	7		request_5	1588332590273	1588332590275	OK	 
REQUEST	7		request_6	1588332590276	1588332590279	OK	 
USER	visualize1user	23	START	1588332590411	1588332590411
REQUEST	13		request_1	1588332590411	1588332590417	OK	 
REQUEST	23		request_0	1588332590411	1588332590418	OK	 
REQUEST	13		request_2	1588332590419	1588332590422	OK	 
REQUEST	13		request_4	1588332590420	1588332590431	OK	 
REQUEST	13		request_3	1588332590419	1588332590434	OK	 
REQUEST	8		request_5	1588332590473	1588332590475	OK	 
REQUEST	8		request_6	1588332590475	1588332590479	OK	 
USER	visualize1user	24	START	1588332590612	1588332590612
REQUEST	14		request_1	1588332590612	1588332590618	OK	 
