RUN	gatling_viade_es1c.sharefriend1user	sharefriend1user	1588333718716	 	3.3.1
USER	sharefriend1user	1	START	1588333720555	1588333720555
USER	sharefriend1user	2	START	1588333720783	1588333720783
REQUEST	1		request_0	1588333720655	1588333720746	OK	 
REQUEST	2		request_0	1588333720784	1588333720822	OK	 
USER	sharefriend1user	3	START	1588333720974	1588333720974
REQUEST	3		request_0	1588333720975	1588333720997	OK	 
USER	sharefriend1user	4	START	1588333721180	1588333721180
REQUEST	4		request_0	1588333721183	1588333721239	OK	 
USER	sharefriend1user	5	START	1588333721377	1588333721377
REQUEST	5		request_0	1588333721377	1588333721401	OK	 
USER	sharefriend1user	6	START	1588333721589	1588333721589
REQUEST	6		request_0	1588333721590	1588333721625	OK	 
USER	sharefriend1user	7	START	1588333721774	1588333721774
REQUEST	7		request_0	1588333721775	1588333721798	OK	 
USER	sharefriend1user	8	START	1588333721979	1588333721979
REQUEST	8		request_0	1588333721980	1588333722002	OK	 
USER	sharefriend1user	9	START	1588333722177	1588333722177
REQUEST	9		request_0	1588333722177	1588333722183	OK	 
USER	sharefriend1user	10	START	1588333722379	1588333722379
REQUEST	10		request_0	1588333722379	1588333722391	OK	 
USER	sharefriend1user	11	START	1588333722576	1588333722576
REQUEST	11		request_0	1588333722577	1588333722582	OK	 
USER	sharefriend1user	12	START	1588333722737	1588333722737
REQUEST	12		request_0	1588333722738	1588333722743	OK	 
USER	sharefriend1user	13	START	1588333722934	1588333722934
REQUEST	13		request_0	1588333722935	1588333722944	OK	 
USER	sharefriend1user	14	START	1588333723134	1588333723134
REQUEST	14		request_0	1588333723135	1588333723140	OK	 
USER	sharefriend1user	15	START	1588333723335	1588333723335
REQUEST	15		request_0	1588333723335	1588333723341	OK	 
USER	sharefriend1user	16	START	1588333723539	1588333723539
REQUEST	16		request_0	1588333723540	1588333723548	OK	 
USER	sharefriend1user	17	START	1588333723726	1588333723726
REQUEST	17		request_0	1588333723727	1588333723733	OK	 
REQUEST	1		request_1	1588333723769	1588333723774	OK	 
REQUEST	1		request_3	1588333723798	1588333723810	OK	 
REQUEST	1		request_4	1588333723798	1588333723814	OK	 
REQUEST	1		request_6	1588333723799	1588333723817	OK	 
REQUEST	1		request_7	1588333723800	1588333723818	OK	 
REQUEST	1		request_2	1588333723797	1588333723846	OK	 
REQUEST	2		request_1	1588333723849	1588333723853	OK	 
REQUEST	2		request_2	1588333723862	1588333723923	OK	 
REQUEST	2		request_6	1588333723865	1588333723925	OK	 
REQUEST	2		request_4	1588333723864	1588333723931	OK	 
REQUEST	2		request_3	1588333723863	1588333723932	OK	 
USER	sharefriend1user	18	START	1588333723933	1588333723933
REQUEST	18		request_0	1588333723934	1588333723951	OK	 
REQUEST	1		request_5	1588333723792	1588333723956	OK	 
REQUEST	1		request_9	1588333723795	1588333723970	OK	 
REQUEST	2		request_5	1588333723856	1588333723976	OK	 
REQUEST	1		request_8	1588333723794	1588333723981	OK	 
REQUEST	1		request_11	1588333723796	1588333723982	OK	 
REQUEST	1		request_10	1588333723796	1588333724021	OK	 
REQUEST	3		request_1	1588333724015	1588333724021	OK	 
REQUEST	3		request_4	1588333724033	1588333724041	OK	 
REQUEST	3		request_3	1588333724032	1588333724043	OK	 
REQUEST	3		request_6	1588333724034	1588333724045	OK	 
REQUEST	3		request_7	1588333724035	1588333724046	OK	 
REQUEST	3		request_2	1588333724032	1588333724087	OK	 
REQUEST	2		request_9	1588333723858	1588333724107	OK	 
REQUEST	2		request_8	1588333723857	1588333724112	OK	 
REQUEST	2		request_10	1588333723859	1588333724116	OK	 
REQUEST	2		request_11	1588333723861	1588333724120	OK	 
USER	sharefriend1user	19	START	1588333724127	1588333724127
REQUEST	1		request_11	1588333723987	1588333724132	OK	 
REQUEST	19		request_0	1588333724128	1588333724136	OK	 
REQUEST	2		request_11	1588333724121	1588333724182	OK	 
REQUEST	3		request_5	1588333724026	1588333724201	OK	 
REQUEST	4		request_1	1588333724259	1588333724264	OK	 
REQUEST	4		request_3	1588333724270	1588333724283	OK	 
REQUEST	4		request_4	1588333724271	1588333724284	OK	 
REQUEST	4		request_6	1588333724272	1588333724284	OK	 
REQUEST	4		request_7	1588333724273	1588333724285	OK	 
REQUEST	3		request_9	1588333724029	1588333724303	OK	 
REQUEST	3		request_8	1588333724028	1588333724303	OK	 
REQUEST	3		request_10	1588333724030	1588333724306	OK	 
REQUEST	4		request_2	1588333724270	1588333724314	OK	 
USER	sharefriend1user	20	START	1588333724327	1588333724327
REQUEST	20		request_0	1588333724328	1588333724335	OK	 
REQUEST	3		request_11	1588333724031	1588333724345	OK	 
REQUEST	4		request_5	1588333724267	1588333724380	OK	 
REQUEST	3		request_11	1588333724345	1588333724416	OK	 
REQUEST	5		request_1	1588333724418	1588333724429	OK	 
REQUEST	5		request_6	1588333724438	1588333724449	OK	 
REQUEST	5		request_3	1588333724436	1588333724450	OK	 
REQUEST	5		request_4	1588333724437	1588333724450	OK	 
REQUEST	5		request_7	1588333724439	1588333724451	OK	 
REQUEST	4		request_9	1588333724268	1588333724458	OK	 
REQUEST	4		request_8	1588333724268	1588333724464	OK	 
REQUEST	4		request_11	1588333724269	1588333724468	OK	 
REQUEST	4		request_10	1588333724269	1588333724471	OK	 
REQUEST	5		request_2	1588333724436	1588333724497	OK	 
USER	sharefriend1user	21	START	1588333724530	1588333724530
REQUEST	4		request_11	1588333724468	1588333724539	OK	 
REQUEST	21		request_0	1588333724531	1588333724541	OK	 
REQUEST	5		request_5	1588333724432	1588333724545	OK	 
REQUEST	5		request_10	1588333724435	1588333724607	OK	 
REQUEST	5		request_8	1588333724433	1588333724630	OK	 
REQUEST	5		request_9	1588333724434	1588333724631	OK	 
REQUEST	5		request_11	1588333724435	1588333724635	OK	 
REQUEST	6		request_1	1588333724637	1588333724641	OK	 
REQUEST	6		request_3	1588333724652	1588333724666	OK	 
REQUEST	6		request_4	1588333724653	1588333724667	OK	 
REQUEST	6		request_7	1588333724655	1588333724668	OK	 
REQUEST	6		request_6	1588333724654	1588333724669	OK	 
REQUEST	5		request_11	1588333724635	1588333724691	OK	 
