RUN	gatling_viade_es1c.seefriends1user	seefriends1user	1588334221959	 	3.3.1
USER	seefriends1user	1	START	1588334224141	1588334224141
REQUEST	1		request_0	1588334224192	1588334224269	OK	 
USER	seefriends1user	2	START	1588334224635	1588334224635
REQUEST	2		request_0	1588334224636	1588334224668	OK	 
USER	seefriends1user	3	START	1588334225130	1588334225130
REQUEST	3		request_0	1588334225131	1588334225147	OK	 
USER	seefriends1user	4	START	1588334225634	1588334225634
REQUEST	4		request_0	1588334225635	1588334225657	OK	 
USER	seefriends1user	5	START	1588334226130	1588334226130
REQUEST	5		request_0	1588334226131	1588334226149	OK	 
USER	seefriends1user	6	START	1588334226635	1588334226635
REQUEST	6		request_0	1588334226636	1588334226651	OK	 
USER	seefriends1user	7	START	1588334227136	1588334227136
REQUEST	7		request_0	1588334227137	1588334227152	OK	 
REQUEST	1		request_1	1588334227291	1588334227297	OK	 
REQUEST	1		request_2	1588334227325	1588334227346	OK	 
REQUEST	1		request_3	1588334227327	1588334227348	OK	 
REQUEST	1		request_4	1588334227328	1588334227351	OK	 
USER	seefriends1user	8	START	1588334227633	1588334227633
REQUEST	8		request_0	1588334227633	1588334227663	OK	 
REQUEST	2		request_1	1588334227684	1588334227689	OK	 
REQUEST	2		request_4	1588334227700	1588334227708	OK	 
REQUEST	2		request_3	1588334227699	1588334227709	OK	 
REQUEST	2		request_2	1588334227691	1588334227744	OK	 
USER	seefriends1user	9	START	1588334228131	1588334228131
REQUEST	9		request_0	1588334228131	1588334228136	OK	 
REQUEST	3		request_1	1588334228161	1588334228167	OK	 
REQUEST	3		request_3	1588334228170	1588334228176	OK	 
REQUEST	3		request_4	1588334228170	1588334228177	OK	 
REQUEST	3		request_2	1588334228169	1588334228213	OK	 
REQUEST	1		request_5	1588334228351	1588334228354	OK	 
REQUEST	1		request_6	1588334228357	1588334228360	OK	 
USER	seefriends1user	10	START	1588334228622	1588334228622
REQUEST	10		request_0	1588334228623	1588334228630	OK	 
REQUEST	1		request_7	1588334228355	1588334228646	OK	 
REQUEST	4		request_1	1588334228692	1588334228697	OK	 
REQUEST	4		request_3	1588334228699	1588334228706	OK	 
REQUEST	4		request_4	1588334228700	1588334228707	OK	 
REQUEST	4		request_2	1588334228699	1588334228742	OK	 
