RUN	gatling_viade_es1c.seefriends1user	seefriends1user	1588334383095	 	3.3.1
REQUEST	27		request_0	1588334389822	1588334389826	OK	 
REQUEST	12		request_1	1588334389844	1588334389848	OK	 
REQUEST	6		request_7	1588334389742	1588334389851	OK	 
REQUEST	12		request_3	1588334389851	1588334389856	OK	 
REQUEST	12		request_4	1588334389852	1588334389857	OK	 
REQUEST	12		request_2	1588334389850	1588334389896	OK	 
REQUEST	7		request_5	1588334389932	1588334389935	OK	 
REQUEST	7		request_6	1588334389937	1588334389939	OK	 
USER	seefriends1user	28	START	1588334390019	1588334390019
REQUEST	28		request_0	1588334390020	1588334390024	OK	 
REQUEST	13		request_1	1588334390040	1588334390043	OK	 
REQUEST	13		request_4	1588334390046	1588334390051	OK	 
REQUEST	13		request_3	1588334390045	1588334390051	OK	 
REQUEST	7		request_7	1588334389936	1588334390083	OK	 
REQUEST	13		request_2	1588334390044	1588334390088	OK	 
REQUEST	8		request_5	1588334390119	1588334390121	OK	 
REQUEST	8		request_6	1588334390122	1588334390124	OK	 
USER	seefriends1user	29	START	1588334390222	1588334390222
REQUEST	29		request_0	1588334390223	1588334390227	OK	 
REQUEST	8		request_7	1588334390121	1588334390227	OK	 
REQUEST	14		request_1	1588334390239	1588334390242	OK	 
REQUEST	14		request_3	1588334390244	1588334390250	OK	 
REQUEST	14		request_4	1588334390244	1588334390251	OK	 
REQUEST	14		request_2	1588334390243	1588334390292	OK	 
REQUEST	9		request_5	1588334390321	1588334390323	OK	 
REQUEST	9		request_6	1588334390324	1588334390326	OK	 
USER	seefriends1user	30	START	1588334390419	1588334390419
REQUEST	30		request_0	1588334390420	1588334390425	OK	 
REQUEST	15		request_1	1588334390431	1588334390436	OK	 
REQUEST	15		request_3	1588334390437	1588334390444	OK	 
REQUEST	15		request_4	1588334390438	1588334390445	OK	 
REQUEST	9		request_7	1588334390324	1588334390457	OK	 
REQUEST	15		request_2	1588334390437	1588334390482	OK	 
REQUEST	10		request_5	1588334390519	1588334390522	OK	 
REQUEST	10		request_6	1588334390523	1588334390525	OK	 
USER	seefriends1user	31	START	1588334390620	1588334390620
REQUEST	31		request_0	1588334390621	1588334390625	OK	 
REQUEST	10		request_7	1588334390522	1588334390642	OK	 
REQUEST	16		request_1	1588334390643	1588334390647	OK	 
REQUEST	16		request_3	1588334390649	1588334390655	OK	 
REQUEST	16		request_4	1588334390650	1588334390655	OK	 
REQUEST	16		request_2	1588334390649	1588334390693	OK	 
REQUEST	11		request_5	1588334390712	1588334390714	OK	 
REQUEST	11		request_6	1588334390716	1588334390718	OK	 
USER	seefriends1user	32	START	1588334390810	1588334390810
REQUEST	32		request_0	1588334390810	1588334390814	OK	 
REQUEST	11		request_7	1588334390715	1588334390815	OK	 
REQUEST	17		request_1	1588334390843	1588334390847	OK	 
REQUEST	17		request_3	1588334390848	1588334390854	OK	 
REQUEST	17		request_4	1588334390849	1588334390855	OK	 
REQUEST	17		request_2	1588334390848	1588334390892	OK	 
REQUEST	12		request_5	1588334390899	1588334390901	OK	 
REQUEST	12		request_6	1588334390903	1588334390905	OK	 
