RUN	gatling_viade_es1c.visualize1user	visualize1user	1588332311617	 	3.3.1
REQUEST	20		request_19	1588332330187	1588332330218	OK	 
REQUEST	20		request_18	1588332330186	1588332330222	OK	 
REQUEST	19		request_12	1588332329949	1588332330230	OK	 
REQUEST	19		request_10	1588332329948	1588332330231	OK	 
REQUEST	20		request_9	1588332330188	1588332330232	OK	 
REQUEST	19		request_11	1588332329949	1588332330262	OK	 
REQUEST	19		request_12	1588332330230	1588332330591	OK	 
REQUEST	20		request_11	1588332330189	1588332330609	OK	 
REQUEST	19		request_14	1588332329949	1588332330608	OK	 
REQUEST	19		request_21	1588332329950	1588332330627	OK	 
REQUEST	20		request_10	1588332330188	1588332330742	OK	 
REQUEST	20		request_12	1588332330189	1588332330749	OK	 
REQUEST	20		request_14	1588332330190	1588332330782	OK	 
REQUEST	17		request_21	1588332328757	1588332330787	OK	 
REQUEST	19		request_14	1588332330609	1588332330808	OK	 
REQUEST	20		request_12	1588332330750	1588332330960	OK	 
REQUEST	20		request_21	1588332330190	1588332331005	OK	 
REQUEST	19		request_14	1588332330809	1588332331015	OK	 
REQUEST	18		request_14	1588332329981	1588332331287	OK	 
REQUEST	1		request_22	1588332330871	1588332331302	OK	 
REQUEST	1		request_23	1588332331303	1588332331307	OK	 
REQUEST	18		request_14	1588332331287	1588332331382	OK	 
REQUEST	3		request_22	1588332331429	1588332331869	OK	 
REQUEST	3		request_23	1588332331871	1588332331874	OK	 
REQUEST	20		request_14	1588332330783	1588332332023	OK	 
REQUEST	20		request_14	1588332332023	1588332332117	OK	 
REQUEST	4		request_22	1588332331952	1588332332376	OK	 
REQUEST	4		request_23	1588332332376	1588332332380	OK	 
REQUEST	5		request_22	1588332332391	1588332332777	OK	 
REQUEST	5		request_23	1588332332778	1588332332783	OK	 
REQUEST	6		request_22	1588332332938	1588332333368	OK	 
REQUEST	6		request_23	1588332333369	1588332333373	OK	 
REQUEST	7		request_22	1588332333469	1588332334082	OK	 
REQUEST	7		request_23	1588332334083	1588332334086	OK	 
REQUEST	8		request_22	1588332333831	1588332334403	OK	 
REQUEST	8		request_23	1588332334404	1588332334407	OK	 
REQUEST	1		request_24	1588332334289	1588332334778	OK	 
REQUEST	1		request_25	1588332334779	1588332334781	OK	 
USER	visualize1user	1	END	1588332313241	1588332334788
REQUEST	9		request_22	1588332334364	1588332335019	OK	 
REQUEST	9		request_23	1588332335020	1588332335023	OK	 
REQUEST	3		request_24	1588332334880	1588332335257	OK	 
REQUEST	3		request_25	1588332335258	1588332335260	OK	 
USER	visualize1user	3	END	1588332314239	1588332335262
REQUEST	10		request_22	1588332334891	1588332335550	OK	 
REQUEST	10		request_23	1588332335551	1588332335554	OK	 
REQUEST	4		request_24	1588332335381	1588332335727	OK	 
REQUEST	4		request_25	1588332335728	1588332335730	OK	 
USER	visualize1user	4	END	1588332314738	1588332335731
REQUEST	11		request_22	1588332335361	1588332336136	OK	 
REQUEST	11		request_23	1588332336137	1588332336140	OK	 
REQUEST	5		request_24	1588332335798	1588332336562	OK	 
REQUEST	5		request_25	1588332336563	1588332336565	OK	 
USER	visualize1user	5	END	1588332315240	1588332336567
REQUEST	6		request_24	1588332336378	1588332336888	OK	 
REQUEST	6		request_25	1588332336889	1588332336892	OK	 
USER	visualize1user	6	END	1588332315729	1588332336893
REQUEST	12		request_22	1588332335938	1588332336908	OK	 
REQUEST	12		request_23	1588332336908	1588332336911	OK	 
REQUEST	13		request_22	1588332336793	1588332337221	OK	 
REQUEST	13		request_23	1588332337222	1588332337225	OK	 
REQUEST	7		request_24	1588332337090	1588332337393	OK	 
REQUEST	7		request_25	1588332337394	1588332337396	OK	 
USER	visualize1user	7	END	1588332316232	1588332337398
REQUEST	14		request_22	1588332336999	1588332337690	OK	 
REQUEST	14		request_23	1588332337691	1588332337694	OK	 
REQUEST	8		request_24	1588332337412	1588332337837	OK	 
REQUEST	8		request_25	1588332337838	1588332337840	OK	 
USER	visualize1user	8	END	1588332316731	1588332337840
REQUEST	15		request_22	1588332337769	1588332338193	OK	 
REQUEST	15		request_23	1588332338193	1588332338196	OK	 
REQUEST	9		request_24	1588332338018	1588332338441	OK	 
REQUEST	9		request_25	1588332338442	1588332338444	OK	 
USER	visualize1user	9	END	1588332317229	1588332338445
REQUEST	16		request_22	1588332338028	1588332338620	OK	 
REQUEST	16		request_23	1588332338620	1588332338624	OK	 
REQUEST	10		request_24	1588332338558	1588332338793	OK	 
REQUEST	10		request_25	1588332338794	1588332338797	OK	 
USER	visualize1user	10	END	1588332317730	1588332338798
REQUEST	17		request_22	1588332338782	1588332339540	OK	 
REQUEST	17		request_23	1588332339540	1588332339543	OK	 
REQUEST	11		request_24	1588332339142	1588332339732	OK	 
REQUEST	11		request_25	1588332339733	1588332339735	OK	 
USER	visualize1user	11	END	1588332318232	1588332339736
REQUEST	19		request_22	1588332339022	1588332340057	OK	 
REQUEST	19		request_23	1588332340058	1588332340062	OK	 
REQUEST	18		request_22	1588332339393	1588332340078	OK	 
REQUEST	18		request_23	1588332340079	1588332340086	OK	 
REQUEST	12		request_24	1588332339909	1588332340236	OK	 
REQUEST	12		request_25	1588332340236	1588332340238	OK	 
USER	visualize1user	12	END	1588332318718	1588332340239
REQUEST	13		request_24	1588332340220	1588332340477	OK	 
REQUEST	13		request_25	1588332340477	1588332340479	OK	 
USER	visualize1user	13	END	1588332319218	1588332340480
REQUEST	20		request_22	1588332340111	1588332340652	OK	 
REQUEST	20		request_23	1588332340653	1588332340656	OK	 
REQUEST	14		request_24	1588332340689	1588332340931	OK	 
REQUEST	14		request_25	1588332340932	1588332340935	OK	 
USER	visualize1user	14	END	1588332319730	1588332340936
REQUEST	15		request_24	1588332341192	1588332341464	OK	 
REQUEST	15		request_25	1588332341464	1588332341470	OK	 
USER	visualize1user	15	END	1588332320229	1588332341471
REQUEST	2		request_5	1588332316801	1588332341805	OK	 
REQUEST	16		request_24	1588332341631	1588332341889	OK	 
REQUEST	16		request_25	1588332341890	1588332341892	OK	 
USER	visualize1user	16	END	1588332320728	1588332341892
REQUEST	17		request_24	1588332342548	1588332342817	OK	 
REQUEST	17		request_25	1588332342818	1588332342820	OK	 
USER	visualize1user	17	END	1588332321229	1588332342821
REQUEST	19		request_24	1588332343062	1588332343301	OK	 
REQUEST	19		request_25	1588332343302	1588332343304	OK	 
USER	visualize1user	19	END	1588332322233	1588332343306
REQUEST	18		request_24	1588332343078	1588332343478	OK	 
REQUEST	18		request_25	1588332343478	1588332343481	OK	 
USER	visualize1user	18	END	1588332321729	1588332343482
REQUEST	20		request_24	1588332343660	1588332343916	OK	 
REQUEST	20		request_25	1588332343917	1588332343919	OK	 
USER	visualize1user	20	END	1588332322721	1588332343921
REQUEST	2		request_6	1588332341805	1588332366831	OK	 
REQUEST	2		request_7	1588332368838	1588332368939	OK	 
REQUEST	2		request_8	1588332370942	1588332371113	OK	 
REQUEST	2		request_15	1588332371115	1588332371135	OK	 
REQUEST	2		request_16	1588332371116	1588332371135	OK	 
REQUEST	2		request_17	1588332371116	1588332371136	OK	 
REQUEST	2		request_18	1588332371117	1588332371136	OK	 
REQUEST	2		request_19	1588332371117	1588332371137	OK	 
REQUEST	2		request_20	1588332371135	1588332371140	OK	 
REQUEST	2		request_9	1588332371117	1588332371160	OK	 
REQUEST	2		request_10	1588332371118	1588332371307	OK	 
REQUEST	2		request_11	1588332371118	1588332371468	OK	 
REQUEST	2		request_12	1588332371118	1588332371471	OK	 
REQUEST	2		request_14	1588332371119	1588332371502	OK	 
REQUEST	2		request_12	1588332371471	1588332371662	OK	 
REQUEST	2		request_21	1588332371119	1588332371690	OK	 
REQUEST	2		request_14	1588332371502	1588332372717	OK	 
REQUEST	2		request_14	1588332372718	1588332372814	OK	 
REQUEST	2		request_13	1588332371114	1588332396136	OK	 
REQUEST	2		request_22	1588332404118	1588332404537	OK	 
REQUEST	2		request_23	1588332404537	1588332404541	OK	 
REQUEST	2		request_24	1588332407559	1588332407855	OK	 
REQUEST	2		request_25	1588332407857	1588332407860	OK	 
USER	visualize1user	2	END	1588332313741	1588332407861
