RUN	gatling_viade_es1c.visualize1user	visualize1user	1588332311617	 	3.3.1
REQUEST	1		request_9	1588332320891	1588332320934	OK	 
REQUEST	1		request_12	1588332320894	1588332321085	OK	 
REQUEST	1		request_10	1588332320892	1588332321090	OK	 
USER	visualize1user	17	START	1588332321229	1588332321229
REQUEST	17		request_0	1588332321230	1588332321236	OK	 
REQUEST	13		request_1	1588332321240	1588332321246	OK	 
REQUEST	13		request_2	1588332321247	1588332321250	OK	 
REQUEST	13		request_4	1588332321248	1588332321256	OK	 
REQUEST	13		request_3	1588332321248	1588332321261	OK	 
REQUEST	1		request_11	1588332320893	1588332321266	OK	 
REQUEST	11		request_5	1588332321278	1588332321280	OK	 
REQUEST	11		request_6	1588332321280	1588332321283	OK	 
REQUEST	1		request_12	1588332321089	1588332321298	OK	 
REQUEST	1		request_14	1588332320894	1588332321303	OK	 
REQUEST	7		request_7	1588332321288	1588332321409	OK	 
REQUEST	1		request_21	1588332320895	1588332321508	OK	 
REQUEST	3		request_8	1588332321394	1588332321589	OK	 
REQUEST	3		request_13	1588332321591	1588332321601	OK	 
REQUEST	3		request_15	1588332321592	1588332321603	OK	 
REQUEST	3		request_20	1588332321601	1588332321609	OK	 
REQUEST	3		request_16	1588332321592	1588332321612	OK	 
REQUEST	3		request_17	1588332321593	1588332321613	OK	 
REQUEST	3		request_18	1588332321594	1588332321616	OK	 
REQUEST	3		request_19	1588332321595	1588332321617	OK	 
REQUEST	3		request_9	1588332321596	1588332321639	OK	 
USER	visualize1user	18	START	1588332321729	1588332321729
REQUEST	18		request_0	1588332321729	1588332321734	OK	 
REQUEST	14		request_1	1588332321750	1588332321755	OK	 
REQUEST	14		request_2	1588332321756	1588332321758	OK	 
REQUEST	14		request_4	1588332321757	1588332321761	OK	 
REQUEST	14		request_3	1588332321756	1588332321763	OK	 
REQUEST	3		request_12	1588332321597	1588332321765	OK	 
REQUEST	3		request_10	1588332321596	1588332321770	OK	 
REQUEST	12		request_5	1588332321770	1588332321773	OK	 
REQUEST	12		request_6	1588332321773	1588332321776	OK	 
REQUEST	3		request_11	1588332321597	1588332321806	OK	 
REQUEST	8		request_7	1588332321790	1588332321909	OK	 
REQUEST	3		request_14	1588332321598	1588332322010	OK	 
REQUEST	3		request_12	1588332321766	1588332322138	OK	 
REQUEST	3		request_21	1588332321598	1588332322176	OK	 
REQUEST	4		request_8	1588332321898	1588332322211	OK	 
REQUEST	4		request_13	1588332322213	1588332322232	OK	 
USER	visualize1user	19	START	1588332322233	1588332322233
REQUEST	4		request_15	1588332322214	1588332322238	OK	 
REQUEST	4		request_20	1588332322232	1588332322250	OK	 
REQUEST	4		request_16	1588332322216	1588332322256	OK	 
